Plant ID,Root Number,Predecessor,Length (cm),Prelength (cm),Diameter (cm),Branching Order,"Approx, grow time (days)",Branching Angle,Root System Width (cm),Number of Lateral Roots,Nodes,Edges
mg4_n,8,3,8.681755156,0.434690822,0.05496317,2,10.21999836,13.42762227,12.5,38,103,111
mg4_n,23,9,0.196638535,4.185357994,0.032950154,3,15.31267736,109.7950505,12.5,38,103,111
mg4_n,25,9,0.538903917,4.715314475,0.04735891,3,15.5776556,108.9175906,12.5,38,103,111
mg4_n,26,9,0.200362358,6.312680813,0.026859258,3,16.37633877,73.65854082,12.5,38,103,111
mg4_n,20,9,4.440248888,2.185806126,0.050815804,3,14.31290143,150.3880354,12.5,38,103,111
mg4_n,21,9,4.393950481,2.499450639,0.052518067,3,14.46972368,1.476670435,12.5,38,103,111
mg4_n,18,9,5.41483458,1.987794873,0.048813184,3,14.2138958,70.01625677,12.5,38,103,111
mg4_n,24,9,4.347065472,4.362971575,0.04411974,3,15.40148415,83.72809354,12.5,38,103,111
mg4_n,28,9,0.233745847,8.512735086,0.032356713,3,17.47636591,46.07771428,12.5,38,103,111
mg4_n,19,9,7.046506482,2.030429205,0.054136718,3,14.23521297,136.9484909,12.5,38,103,111
mg4_n,9,3,16.63522406,0.434690822,0.071931795,2,10.21999836,149.356776,12.5,38,103,111
mg4_n,31,19,0.089998572,2.738823247,0.02938897,4,18.60462459,83.12984233,12.5,38,103,111
mg4_n,33,19,0.088592715,2.807476785,0.037487629,4,18.63895136,135.1066932,12.5,38,103,111
mg4_n,34,25,0.09625248,0.313776288,0.038376688,4,18.73454375,163.0839016,12.5,38,103,111
mg4_n,29,18,1.047531316,2.174093232,0.040329548,4,18.30094242,113.5570684,12.5,38,103,111
mg4_n,30,18,0.956153488,2.217375098,0.039573198,4,18.32258335,55.08243815,12.5,38,103,111
mg4_n,37,25,0.384667447,0.444594408,0.028677751,4,18.79995281,165.7740361,12.5,38,103,111
mg4_n,32,25,0.794088908,0.079172359,0.036721272,4,18.61724178,101.5101899,12.5,38,103,111
mg4_n,38,9,0.130258639,11.46936473,0.04547551,3,18.95468073,146.7663863,12.5,38,103,111
mg4_n,41,9,0.262964975,13.97012078,0.036974087,3,20.20505875,179.6399936,12.5,38,103,111
mg4_n,42,9,0.262924948,14.81515362,0.042664462,3,20.62757517,115.0726563,12.5,38,103,111
mg4_n,43,9,0.260615573,15.44089788,0.03478767,3,20.9404473,85.44893207,12.5,38,103,111
mg4_n,44,9,0.106103041,15.99711835,0.032742916,3,21.21855754,66.31124843,12.5,38,103,111
mg4_n,39,9,2.671787541,13.81552545,0.06927985,3,20.12776109,2.812779087,12.5,38,103,111
mg4_n,45,29,0.283573588,0.152668196,0.02497884,5,21.37727651,96.50895644,12.5,38,103,111
mg4_n,46,9,5.186487927,16.40389326,0.07342911,3,21.42194499,147.8082874,12.5,38,103,111
