Plant ID,Root Number,Predecessor,Length (cm),Prelength (cm),Diameter (cm),Branching Order,"Approx, grow time (days)",Branching Angle,Root System Width (cm),Number of Lateral Roots,Nodes,Edges,
mg1_p,8,1,5.762595271,1.893296953,0.046403838,1,3.946648476,19.08541807,10.5,60,193,241,
mg1_p,37,3,0.203727532,1.272177045,0.026553959,2,6.850783201,137.6542943,10.5,60,193,241,
mg1_p,36,3,0.307038803,1.183916375,0.024927524,2,6.806652866,153.5376569,10.5,60,193,241,
mg1_p,20,1,3.869688681,4.235315196,0.056187924,1,5.117657598,55.91730241,10.5,60,193,241,
mg1_p,34,1,0.846929512,7.263906463,0.061791253,1,6.631953231,42.73097012,10.5,60,193,241,
mg1_p,29,1,2.047862192,6.971846995,0.041955511,1,6.485923497,36.00670589,10.5,60,193,241,
mg1_p,50,3,0.362610448,2.426814665,0.038584522,2,7.428102011,131.2693849,10.5,60,193,241,
mg1_p,58,1,0.090327098,9.183335162,0.026194429,1,7.591667581,46.87099548,10.5,60,193,241,
mg1_p,42,3,1.161299623,1.905421848,0.051583269,2,7.167405603,40.6196867,10.5,60,193,241,
mg1_p,62,16,0.172663046,0.133796854,0.033159231,2,7.652239683,111.6377697,10.5,60,193,241,
mg1_p,38,3,1.763570337,1.374714922,0.043636191,2,6.90205214,51.33163532,10.5,60,193,241,
mg1_p,35,1,2.2611689,7.472458883,0.064534086,1,6.736229442,48.14782738,10.5,60,193,241,
mg1_p,71,16,0.114990953,0.419067279,0.035699341,2,7.794874895,88.20364116,10.5,60,193,241,
mg1_p,69,16,0.247479718,0.371058319,0.037204459,2,7.770870415,140.7829184,10.5,60,193,241,
mg1_p,64,5,0.426880689,2.57566996,0.045964606,2,7.743312306,41.27033799,10.5,60,193,241,
mg1_p,74,6,0.151843606,2.759032655,0.03134062,2,7.883924947,63.62757704,10.5,60,193,241,
mg1_p,59,3,0.802736611,2.793843313,0.041261841,2,7.611616335,138.3765885,10.5,60,193,241,
mg1_p,75,16,0.361897556,0.622762909,0.033285479,2,7.896722711,165.7221642,10.5,60,193,241,
mg1_p,70,6,0.606849189,2.62746451,0.03595684,2,7.818140874,158.6577627,10.5,60,193,241,
mg1_p,60,3,0.967876832,2.864116744,0.044997316,2,7.646753051,45.73619629,10.5,60,193,241,
mg1_p,22,1,5.868597496,4.834394691,0.059205436,1,5.417197345,23.7775569,10.5,60,193,241,
mg1_p,6,1,10.25155127,1.008817239,0.049327547,1,3.504408619,37.81148992,10.5,60,193,241,
mg1_p,17,1,7.637756973,3.659959651,0.050350478,1,4.829979826,29.62260702,10.5,60,193,241,
mg1_p,94,1,0.2246977,11.25561727,0.053266606,1,8.627808633,26.1494143,10.5,60,193,241,
mg1_p,101,16,0.162292293,2.437475762,0.041453834,2,8.804079137,19.5660553,10.5,60,193,241,
mg1_p,5,1,11.05808693,0.910954652,0.055756656,1,3.455477326,37.25461782,10.5,60,193,241,
mg1_p,105,16,0.239712427,2.634577597,0.044432632,2,8.902630054,15.78075331,10.5,60,193,241,
mg1_p,66,11,2.741632209,1.250013919,0.040621034,2,7.71948503,137.3519337,10.5,60,193,241,
